Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
hưng-hoài,nostalgie,興懷,"Sinh bụng nhớ, đương khi không trông thấy cái gì mà sinh ra lòng nhớ đến sự gì."
hùng-kiệt,brave et héroïque,雄傑,"Mạnh tợn, cái gì có khí tượng mạnh-bạo dữ-dội."
hưng-suy cảm-khái,sentiment de tristesse qu'inspire le spectacle des vicissitudes de la vie ou de l'histoire,興衰感慨,Trông thấy cuộc đời khi thịnh khi suy sinh ra lòng cảm khái buồn rầu.
hưởng-dụng,avoir le droit d'user; jouir de,享用,Có quyền được hưởng dùng cái vật gì.
hương-hoả,culte; part d'héritage affectée au culte des ancêtres,香火,"Nhang với lửa, chỉ sự thờ cúng, tôn-kính. Lại chỉ cái phần của gia-tài dành để việc cúng-tế người chết."
hương-thí,concours provincial (communement appelé « concours triennal »),鄉試,"Thi Hương, xưa ba năm một lệ thi chính những học-trò các tỉnh tụ lại một chỗ, thi bốn kỳ, lấy đỗ cử-nhân, tú-tài, tức như trường Nam-định của ta hồi xưa."
hư-sức,vains ornements,虛飾,Văn sức ở bề ngoài.
hữu-cơ-hoá-học,chimie organique,有機化學,Là hoá học thuộc về những giống có cơ-thể.
hữu-dực,aile droite (d'une armée),右翼,Cánh quân bên tay phải.
hữu-dụng,"utile, qui rend des services",有用,"Có dụng, cái vật có thể cho người đời dùng được."
hưu-trí,"retraite, fonctionnaire en retraite",休致,Làm quan đã già về nghỉ.
huyền-bí,"mystérieux, profond",玄秘,"Mầu-nhiệm, cao-xa, khó hiểu."
huyễn-diệu,"tromper, en imposer à autrui",眩耀,"Dùng cách cao-đại để lừa người, «loè» người."
huyền-hoặc,tromper par des apparences fallacieuses,眩惑,"Làm choáng lộn lên cho người ta mê-hoặc, lấy bộ ngoài mà nạt người khác."
huyết-lực,"force; énergie, effort",血力,"Sức của máu, ý nói chịu cố công cùng sức đến đồ máu ra mà làm việc."
huy-hoàng,brillant; splendide; magnifique,輝煌,Sáng rực rỡ.
hý-trường,scène de théâtre; par ext.: scène du monde,戲場,"Nghĩa đen là rạp hát, ví bóng là cuộc đời."
kế-hoạch,"moyen, procédé; mesure prise",計畫,Vạch định mưu chước.
kê-liệt,enumérer,計列,"Kể bày, kể các thứ ra từng hạng."
kết-cấu,composition (art de composer en littérature),結構,"Sắp đạt, xếp dựng, nói về nghề làm văn thì là cái phép xếp đặt ý-tứ để làm thành bài văn, thành quyển sách."
kết-giao,se lier d'amitié avec quelqu'un,結交,Kết với nhau làm bạn chơi.
kế-thế,se succéder (d'une génération à l'autre),繼世,Đời nọ nối đời kia.
kết-liên,"s'unir, s'allier, se ligner",結聯,"Kết-liên lại với nhau, như nước nọ giao-kết với nước kia cùng đánh cùng dữ."
kết-luận,conclure; conclusion,結論,"Trong một bài văn có một đoạn nghị luận thúc kết lại về sau; bàn tóm lại, trên nói rộng mà dưới kết lại với một cái lẽ đích-xác."
kết-quả,"résultat, effet",結果,Sự thành công của một việc gì.
kết-tinh,condenser; cristalliser,結晶,Ngưng kết cái phần tinh-hoa lại. — (Chữ này viết là 結晶 thì chỉ những hạt thuỷ-tinh trong tuyết kết lại mà thành từng miếng tuyết có hình. Nói bóng nghĩa cũng giống như trên).
khắc-hoạch,clair précis; soigné,刻畫,"Khắc vạch, nghĩa bóng là làm cái gì thực kỹ càng nắn nót từng tí."
khách-quan,"spectateur, témoin",客觀,"Đứng ngoài mà trông, mà xem. (Về triết-học thì chỉ phàm cái gì thuộc về ngoài, do ngoài mà xét, không thuộc về chính mình (objectif), đối với chủ-quản là subjectif.)"
khắc-kỷ,"maîtrise de soi; se dominer, se maîtriser",克己,"Đè nén mình, giữ mình, ngăn cấm không làm sự xấu."
khải-ca,le chant de la victoire,凱歌,Bài hát của quân thắng trận về.
khai-đạo tác-thành,"guider, former (un talent, un esprit)",開導作成,Dạy dỗ gây dựng.
khải-hoàn,retour triomphal d'une armée,凱還,Lúc quân thắng trận giở về.
khai-mạc,lever le rideau; commencer le spectacle; ouvrir la voie à...,開幕,"Mở màn ra, mở màn bắt đầu diễn-kịch. Nói bóng nghĩa là bắt đầu, mở đường lối."
khái-niệm,généraliser,概念,"Xét chung, suy rộng để hội lấy nhẽ chung."
khai-thác,ouvrir un pays,開拓,Mở mang đất cát.
khai-thông thời-đại,"epoque de progrès, de développement",開通時代,"Thời buổi đã mở mang, thông thạo được nhiều."
khám-chế,dominer,瞰制,"Đứng cao, đứng xa, mà quản-thống cai-trị. (Chữ thường dùng về binh-pháp)."
kháng-cáo,interjeter appel,抗告,Tòa dưới kết án không chịu đem lên tòa trên chống án.
kháng-khái,"grandeur d'âme, indépendance de caractère",慷慨,"Ý chí cao-thượng, hăng-hái không chịu khuất nhục."
khang-kiện,fort et robuste,康健,Mạnh khoẻ.
kháng-nghị,protestation,抗議,Tờ chính-phủ nọ gửi sang chính-phủ kia để cãi-trách điều gì.
khang-phụ,riche et prospère,康阜,Thịnh-vượng giàu có no đủ.
khánh-tận,"epuisement complet, entier dénuement",罄盡,Xánh kiệt hết không còn gì cả.
khảo-cổ,etudier l'antiquité; faire des recherches sur l'antiquité,考古,Xét tìm những dấu tích ngày xưa.
khảo-cổ-học,archéologie,考古學,Sự học chuyên xét về các vết tích đời cổ.
khảo-cứ,recherche historique; travail d'érudition,考據,"Học tra xét, tìm kiếm cho được chứng cứ."
khảo-cứu,rechercher; compulser,考究,"Tra xét, tìm tòi."
khảo-khoá,nom d'un examen sous l'ancien régime,考課,"Là một kỳ thi để xét công-khoá học-trò xem ai học hay ai học giở, như ngày trước mỗi năm các tỉnh xứ ta có một lần khảo xem học-trò hay hèn thế nào."
khảo-vấn,"rechercher, compulser, interroger",考問,Xét hỏi.
khả-quyết,voter (pour et contre),可決,Nghị-viện bỏ vé quyết ưng. Đối với phủ quyết 否決 là không ưng.
khất-cái,"mendier, mendiant; solliciter comme un mendiant",乞丐,"Kẻ ăn mày ăn xin, đi xin đi nhờ người ta."
khẩu-biện,art oratoire; éloquence,口辯,"Nghề nói, nghề biện thuyết."
khẩu-đầu-thiền,"formule banale, qu'on répète a tout venant; prétexte spécieux",口頭禪,"Câu nói đầu lưỡi, câu nói thường cửa miệng."
khẩu-kính,diamètre,口徑,"Đường thẳng đi qua trung-tâm một cái vòng tròn, chạy ngang từ bên này sang bên kia."
khẩu-thiệt,"litt. bouche et lanque. se dit des désagréments causés par des contestations, des disputes de paroles; homme disert",口舌,"Miệng lưỡi, ý nói những điều gai ngạnh đua miệng tiếng với nhau; những người láu-lỉnh."
khế-văn,contrat,契文,"Tờ giao ước, văn-tự."
khí-diễm,ardent comme le feu; grande ardeur,氣焰,"Khí thế mạnh mẽ, đùng đùng như lửa cháy."
khiên-động,répercussion,牽動,"Dắt động, việc nọ dắt động đến việc kia, vì một việc mà sinh ra chuyển động các công cuộc khác."
khí-giới,"outil, ustensile; outillage; arme",器械,"Đồ dùng về nghề-nghiệp, hoặc là về việc quân."
khinh-bộ-binh,chasseurs (troupes),輕步兵,Lính bộ dùng những việc nhanh nhẹn.
khinh-suất,"agir à la légère, inconsidérément",輕率,"Xuất-xử việc gì vội vàng, không nghĩ kỹ."
khoa-học,"la science, les sciences",科學,"Sự học vấn chia từng khoa một, sự học thực dụng. — Khoa-học thường dùng đối với đạo-học là học về đạo-lý."
khoái-chá,"agréable; qui donne de l'agrément, qui fait le charme",膾炙,"Chính nghĩa là miếng thịt, miếng chả. Nói bóng là đồ ăn ngon, văn-chương hay, nhiều người thích."
khoái-lạc,plaisir; volupté,快樂,Vui sướng thoả thích.
khoáng-dật,se répandre,擴溢,"Tràn ngập, lan khắp."
khốc-hại,cruel; néfaste,酷害,Tàn hại dữ tợn.
khổ-hải,océan de la souffrance,苦海,"Tiếng phật, chỉ cái cảnh khổ vô cùng."
khởi-công-thế,"commencer, déclancher une offensive",起攻勢,Bắt đầu khởi thế công.
khởi-điểm,point de départ ; commencer,起點,Nơi bắt đầu ; bắt đầu làm việc gì.
khởi-thảo,élaborer,起草,"Bắt đầu thảo một cái điều-ước, cái chương-trình, v. v."
khởi-thuỷ,commencer une entreprise,起始,"Khởi ra đầu hết, hồi bắt đầu."
khởi-xướng,prendre l'initiative; commencer le premier,起唱,Khởi dầu xướng lên trước.
không-gian,espace (en philosophie),空間,"Chữ triết-học, thường dùng đối với chữ thời gian. Ngang đến vô-hạn gọi là không gian. Giọc đến vô-hạn gọi là thời gian. Không-gian tức là chữ vũ 宇 trong sách cổ mà chỉ « thượng hạ tứ phương » ; thời-gian tức là chữ trụ 宙 mà chỉ « vãng cổ lai kim »."
không-giới,espace vide; firmament,空界,"Quãng không, tức là trên bầu giời."
không-tiền khoáng-hậu,unique; sans exemple dans le passé et dans l'avenir,空前曠後,"Trước chẳng có mà sau cũng không, nghĩa là người gì hay việc gì từ xưa đến nay cho tới về sau nữa cũng không có; hiếm lắm, có một lần mà thôi, hoặc là hơn cả, trước sau cũng không bằng."
khổn-hạnh,vertu d'une femme; conduite d une femme vertueuse,閫行,Nết người đàn bà hiền.
khuất-nhục,"s'humilier, supporter des vexations sans égard a sa dignité (pour obtenir une chose)",屈辱,"Chịu khuất chịu nhục; chịu luồn-lỏi, xấu hổ."
khuê-khổn,femmes de la haute société,閨閫,"Chỗ buồng the đàn bà ở, dùng nói những người đàn bà có phẩm-hạnh có nết na đứng đắn."
khuê-nghi,"manières d'une femme polie, d'une jeune fille bien élevée",閨儀,Giáng điệu người đàn bà có lễ phép.
khủng-bố,crainte; effarement,恐怖,Sợ hãi quá.
Khương-công,nom d'un ministre de l'antiquité chinoise,姜公,"Là tên ông Thái-công-Lã-vọng 太 公 呂 望 người đời Châu 周 thủ̉a chưa đạt câu cá ở trên sông Vị 渭 vua Văn-Vương 文 王 nhà Châu, nghe là người hiền, đón về làm tướng."
khuông-phụ,aide et assistance au souverain (se dit des ministres),匡輔,Giúp đỡ công việc nước.
khu-trục-hạm,croiseur de chasse,驅逐艦,Tầu chiến dùng để đuổi theo các tầu địch.
khuyến-lệ,exhorter,勸勵,Khuyên bảo cho người ta nức lòng.
khuyết-điểm,"défaut, imperfection",缺點,"Điều thiếu thốn, sự khiếm khuyết, phần kém."
khuyết-hám,manque; lacune; défaut,缺憾,"Điều thiếu, điều còn đáng giận, những việc gì làm chưa được hoàn-toàn."
khuyết-tịch (án),jugement par contumace,缺席案,"Án lập vắng-mặt người bị cáo, hoặc người tội-nhân."
khuynh-hướng,"tendance, penchant",傾向,"Có ý thiên về đường nào, mặt nào."
kịch-liệt,"violent, impétueux, fougueux, emporté; fort, intense",劇烈,"Dữ-dội, hăng-hái, bạo-mạnh; dữ lắm, mạnh lắm."
kiếm-bội,uniforme d'officier,劍佩,Gươm và giây đeo là đồ quan võ dùng.
kiểm-điểm,contrôler,檢點,"Kiểm-đếm, nghĩa là trông nom xét đi xét lại kỹ càng."
kiêm-tính,"annexer, annexion",兼併,Gồm giữ lấy cả; lấy đất nước ngoài mà sáp nhập vào đất mình.
kiên-nhẫn,patience,堅忍,"Lòng bền chặt, chịu nhịn, chịu khó."
kiến-thiết,"fonder, créer; établi, instituer",建設,"Dựng đặt thành lên; dựng-dã bày-đặt, lập ra những phép-luật điều-lệ."
kiến-trúc (nhà),architecte,建築家,Người chuyên-môn nghề xây-dựng nhà cửa.
kiến-trúc-thuật,architecture,建築術,"Nghề xây dựng, tức là nghề đặt kiểu nhà, hoạ kiểu nhà."
kiến-văn,"chose vue et entendue, connaissance acquise par expérience",見聞,"Sự mắt thấy, tai nghe mà biết."
kiệt-tác,chef d'œuvre,傑作,"Cái gì làm ra tuyệt-phẩm, khéo, đẹp; công-cuộc gì làm khéo hơn cả."
kiệt-xuất,s'élever au dessus du commun,傑出,Trong một bọn nhiều người mà có một người cao vượt hơn cả.
kiều-cư,emigré,僑居,Người một nước đến ở nhờ nước khác.
kiểu-hãnh,"intrigue, intriguer, intrigant",僥倖,"Cầu-cạnh, vận-động, chạy chọt cho cố được gì."
kim-cách,littéralement: les armes (en métal et en cuir); par extension: la guerre,金革,Những đồ khí giới làm bằng ngũ-kim và bằng da. Bởi vậy việc chiến trận gọi la việc kim-cách.
kim-lan,expression chinoise pour désigner une amitié très intime,金蘭,"Bạn thân với nhau, chữ kinh Dịch: người bạn thân có thể chặt vàng mà chia được ; nhời nói đồng tâm thơm như hoa lan."
kim-ô,le corbeau d'or (mythologie chinoise: le soleil),金烏,"Con quạ vàng, ví như bóng mặt giời."
kim-phong,vent d'automne,金風,Gió vàng tức là gió mùa thu nói ý lạnh lẽo tiêu-sắt.
kim-tự-tháp,pyramide,金字塔,"Tháp hình chữ kim, nhọn đầu."
kinh-cơ,la capitale; capitale,京畿,Chỗ kinh thành vua ở.
kinh-doanh,organiser,經營,"Sếp đặt, sửa sang."
kinh-luân,"organiser, gouverner un pays; homme capable d'organiser, de gouverner",經綸,"Sửa sang cai-trị một sứ; người có tài làm công kia việc nọ, nhất là giỏi về đằng chính-trị."
kinh-lý,organiser,經理,Sửa sang xếp đặt công việc.
